location_id,stall_id,id,name,in_stock,school_price,public_price,category,kcal,compulsory_option_1,compulsory_option_2,modifier_1,modifier_1_cost,modifier_2,modifier_2_cost,upsize_1_cost,upsize_2_cost,tags,image_url
1,7,45,Coffee O Ice,,0.9,1,4,85,,,"{Upsize}",0.4,,,,,,
1,7,46,Coffee Ice,,1,1.1,4,116,,,"{Upsize}",0.4,,,,,,
1,7,47,Coffee C Ice,,1.1,1.2,4,103,,,"{Upsize}",0.4,,,,,,
1,7,48,Tea O,,0.7,0.8,4,85,,,,,,,,,,
1,7,49,Tea,,0.8,0.9,4,116,,,,,,,,,,
1,7,50,Tea C,,0.9,1,4,103,,,,,,,,,,
1,7,51,Tea O Ice,,1,1.1,4,85,,,"{Upsize}",0.4,,,,,,
1,7,52,Tea Ice,,1.1,1.2,4,116,,,"{Upsize}",0.4,,,,,,
1,7,53,Tea C Ice,,1.2,1.3,4,107,,,"{Upsize}",0.4,,,,,,
1,7,54,Cocoa O,,0.7,0.8,4,95,,,,,,,,,,
1,7,55,Cocoa,,0.8,0.9,4,120,,,,,,,,,,
1,7,56,Cocoa C,,0.9,1,4,107,,,,,,,,,,
1,7,57,Cocoa O Ice,,1,1.1,4,95,,,"{Upsize}",0.5,,,,,,
1,7,58,Cocoa Ice,,1.1,1.2,4,120,,,"{Upsize}",0.5,,,,,,
1,7,59,Cocoa C Ice,,1.2,1.3,4,107,,,"{Upsize}",0.5,,,,,,
1,7,60,Horlick O,,0.7,0.8,4,95,,,,,,,,,,
1,7,61,Horlick,,0.8,0.9,4,120,,,,,,,,,,
1,7,62,Horlick C,,0.9,1,4,107,,,,,,,,,,
1,7,63,Horlick O Ice,,1,1.1,4,95,,,"{Upsize}",0.5,,,,,,
1,7,64,Horlick Ice,,1.1,1.2,4,120,,,"{Upsize}",0.5,,,,,,
1,7,65,Horlick C Ice,,1.2,1.3,4,107,,,"{Upsize}",0.5,,,,,,
1,7,66,Cocoa + Coffee Ice,,1.1,1.2,4,137,,,"{Upsize}",0.5,,,,,,
1,7,67,Cocoa + Tea Ice,,1.2,1.3,4,138,,,"{Upsize}",0.5,,,,,,
1,7,68,Cocoa + Horlick Ice,,1.3,1.4,4,148,,,"{Upsize}",0.5,,,,,,
1,7,69,Cocoa Dinosaur,,2.5,2.8,4,357,,,"{Upsize}",0.5,,,,,,
1,7,70,Yuan Yang,,0.8,0.9,4,150,,,,,,,,,,
1,7,71,Yuan Yang Ice,,1.4,1.5,4,150,,,"{Upsize}",0.4,,,,,,
1,7,72,Hot Water,,0.2,0.3,4,0,,,,,,,,,,
1,7,73,Ice Water,,0.3,0.4,4,0,,,,,,,,,,
1,7,74,Chinese Tea,,0.6,0.7,4,0,,,,,,,,,,
